,volume_2020,volume_2021
0x0001675DF6B94d354818BD6DdB6FE2695Bbfce1D,400.0,0.0
0x00036d3df07bA5d3EC5ed4aA87d15AcAE5FB00F0,404.0,0.0
0x0003dBe134FF070E07E2A286Fa6532C6F0140429,510.0,0.0
0x00051a513042bcd7eAfF2c6488a2eE0dBfD01625,400.0,0.0
0x0005a5bC0fB4100Bb887D2C8421c48FA75C68477,559.0,0.0
0x000740f81d8Ffddd847109a9c9113a9Cab987AFF,219436.0,153880.0
0x0008Cb8E2aF7f1e97EE572dAED2638d121932A14,2072.0,270.0
0x000CE8652c1a20E0967d8CE70FC258ad237C2fB3,1610.0,0.0
0x000EF47DB80359855bb6AFE00232a36f7c1Ba178,300767.0,35900.0
0x001484BA4b97390a7d4Dc7933A510704647D7681,420.0,0.0
0x00189470f8A415546AddD7c264EC0CbB5C88dECC,140.0,0.0
0x00191D4baca8ED9D8Fe5983610e6002936A79157,100.0,0.0
0x001c1dd54Bf28ebCC5aC3D8FEe228d04F5Fe3581,400.0,0.0
0x001fc441577436e96b240763083AC967E06AD95D,550.0,0.0
0x0023aF4Dd82F07b02cC846e4B6008092e1914faa,400.0,0.0
0x002B4b2bC7428D014aF0893B8F6691544764ac6e,400.0,0.0
0x002EfB68C358689E37Af7E1A03C90bBD26b94C87,144727.0,50.0
0x00305044fbB4784222d81Bc58329c7c42f083701,91667.0,11135.0
0x00324C4D0659357273810Eeb89B9Af0BaEf41d62,440.0,0.0
0x00329bf710d92fb45912793FCe71CD954E0F5230,620.0,0.0
0x0033003c9fA1Ab095F5387dAfB6F2385a0C7647b,514.0,0.0
0x0038316Acd043860a43E7a1D71dE2De61CA96cFC,25951.0,1717.0
0x00392Bd74568b709C0A95A041f3bc2F0ae076BB3,100.0,0.0
0x003d67587327e151CF161d28AB7244547A227Dff,400.0,0.0
0x0043f931d93BCe223AB4930679f9978904e921BE,4208.5,0.0
0x0044c1d7f205cA21f500bFd68f346426F30ca144,25951.0,1370.0
0x0045CfE8f2ee20706c084941c7dcE43688Bc3227,11315.0,4340.0
0x004890e744F5881ac7Ff713F17d7683fDA2cf8AF,400.0,0.0
0x004BB79D7DED3eD731F10D2C383a00AD3EB5c7D5,185839.0,25575.0
0x004b197d79CAb798Daa107504eA99B935806fC80,1300.0,0.0
0x004e060FF6255743F4bc82280f50Cd1e19903020,440.0,0.0
0x004eB8362D9BB7EEf023baFA084064C10D4eB45E,900.0,0.0
0x004eb7F0003C065570Aaa17f9373f0Fae9326136,400.0,0.0
0x005221eA98dFc1fBA6a4596a41505c426Fc74F2A,514.0,0.0
0x0057cCcD99335CbB8d95f739504240fD8cEE6166,692.0,0.0
0x00586b8C309b0Fa39EdD3AA2CD17d041A9882fFA,225.0,0.0
0x00597c6a7E127730EA8616CB7647Fddb6CA4acf7,102558.0,0.0
0x005F1a724F5064ef7b4D54979225369d3F50EAda,2194.0,680.0
0x0060db314328a4540609f88FC266829e9E6e0dD2,50.0,0.0
0x00661785611143b23b4fcbCa641172217d36bE2e,400.0,0.0
0x006830532CDdD5d2Ec021Df92E05f18FC5750EcA,440.0,0.0
0x006B711787f3708A3b03732E86d5F55b3fEC4ff9,400.0,0.0
0x006D3635aB3749BdDC8d65C455DAa57B3F3B1846,400.0,0.0
0x006D4a376d97CaaAe57FcCBb303FfF66961bb9F7,27061.0,0.0
0x00715b9Bec6C27167a69943FeAC52be544F7b268,440.0,0.0
0x007816723852B965BF4610dc5e295910A653c329,290267.0,510.0
0x00797fE3Ab0Df5e3d2108A2fAE3d3AC921D9cD80,400.0,0.0
0x007Be532dBfd0d5b4C3d1EF0689358409dF038e3,400.0,0.0
0x007C940959B26b14c7fE45F79f7D64A32121D058,637285.0,93325.0
0x007Ea1e06DA46cD54D49d788Aa1DF14dbd07953e,869.0,0.0
0x007f3cdD3C3F6789bbcb74fFD42Df98F62D1Cca5,440.0,0.0
0x008046E422955f3c314b5EC3619A8c5bfEF7bFa4,627.0,0.0
0x0080753DF5C38323A950D018e70E0Edaf281Cec6,400.0,0.0
0x0081aE183eB539BBc537632787554a466414b6d5,24022.0,4350.0
0x00873bE3b1f88c3E6936237809A56a05073540Fa,100447.0,50.0
0x0087E2Ca665bb0eB46dFe24B2424BA8Cb1Bb834d,513.0,0.0
0x008834e98128c4d07bba87636a42145D0aeF54e4,400.0,0.0
0x0089D250468Bb2a892d58816d08789c1168C0722,693.0,0.0
0x008bf1fd0bf035a70D3A111735B457119662e622,608.0,37578.0
0x008c27500a193c9D52c80748a16B0107E312D755,440.0,0.0
0x0091d7141245d6Ff2b49935cD2c11f6d5fa5acf3,22002.0,0.0
0x009371529de63109db67D131B522FE0CdEa87722,971641.0,1499.0
0x0093D050FB0b57Aecc671252dDB6a14bfd8259e4,400.0,0.0
0x00955047dF2F4fB9fb001d56f3098E8CD2fa99aA,18500.0,0.0
0x009587B373229350bb95ed46f1DB7680d591a23C,510.0,0.0
0x009EE9d8BE551534349D3BecB6cf6C7E19c7b8B8,3355.0,0.0
0x00A365Cc5F6EEdc2ab37E12158B6abf0b199a27F,400.0,0.0
0x00A40b70917a2514872E4bdc7FF23754d321A0ec,400.0,90.0
0x00A48649e8D1A79D9A99bAB392037B5E619f632a,100330.0,4000.0
0x00AAf80e14c224f1E2d68501d10d9d0bdbeEdd8c,400.0,0.0
0x00Af9b9146899640689465788Fd8a71fda3e29b9,788.0,50.0
0x00AffD08755f2B7C4490571Bb86d8483E9c5D6d6,400.0,0.0
0x00B218FAe2002e5b09C81451dE3Db52931AFe4D5,660.0,0.0
0x00Bc9BFbD437FCD7f979ebB9A4acD447Fbdb030B,29487.0,290.0
0x00C0CaC376AF557B7Cc3cC3eE94565fE8718ccEB,394.0,0.0
0x00C395a0F2Fc1939C8EE16DE24c2dCAE6d2D4270,400.0,0.0
0x00C5A0faBF7C9E7604B0c7207b4ab1A300Ab3d11,55.0,0.0
0x00C76B2Ef913646c9551804Ed589a016d5A032b6,30.0,0.0
0x00D32031b8CFe5744692a6418c5AAd13654626A5,400.0,0.0
0x00DDde92043a59Efb567381cfA7A9B066eAFEb99,400.0,0.0
0x00De84a9d77dD2D8a75F04Bbb684F726070e561C,3244.0,0.0
0x00E5e3dB3776Fd655a3C952b07Dc2DC96BD43731,430.0,0.0
0x00Ec8904B47A23222D28cEa443D561edb5178558,479.0,0.0
0x00F1Cdeffa8da2a54F153970cF60Ce44A997d95f,10419.0,0.0
0x00F53E21eBEF717B96E604C97fA376079b58Dc2F,400.0,0.0
0x00F66DC145cc5E1d2AEf0F003e617D60767894BF,400.0,0.0
0x00F8Cb69151440a0843888E517f7d4FD6b86836B,502.0,0.0
0x00FDeA16aA88DC53D95c53AeeFF2eBF86415b911,410.0,0.0
0x00Fc874bE823f7e1B542D4A16Eb8Ce1f1AeAd31d,130.0,0.0
0x00FcAC07B3A879821b5773f439B4A4f121472005,400.0,0.0
0x00Fe8879392cbC5F8e4138BC0F26495bEfBFE07f,6346.0,0.0
0x00a7f98dCA53BA704370333650C9563F766Ae662,9240.0,0.0
0x00a82B86B88a6DE8739d88E4a1a55cEbFe03bD2f,400.0,0.0
0x00aD43eCf1c6610FB45E3651ff33C0D511A4D9D0,530.0,0.0
0x00b1e74967c140BEfceC14Ef3bE3B599821B2ce6,200875.0,0.0
0x00b377414cb35A4F71CA50592F36a4b8Be58d9ae,590.0,0.0
0x00b6B040cDe994C2E16f122b61a06c41b9228819,1.0,0.0
0x00dFc3B796D18e281D1E41AA912E782d53Cd68d7,350.0,0.0
0x00dd1353c838Be96f2Abf65dF22CBDdeB902928d,87.0,0.0
0x00e2D533Fb4c8517b13aFF62B7d33D39601a5d27,100.0,0.0
0x00e311682F84535dfAD8317f110bc5931bbD8273,505.0,0.0
0x00e4809c18918836a297FAeFa88857df62208064,504.0,0.0
0x00e8D0731a9ac676f6D08c3146F8BD9d5F65350f,1583.0,0.0
0x00eC2c940f3a8EB1ea57b099bf9bDee88e2AFcd1,18162.0,0.0
0x00eF9545Ad2F973BE3dC737Bf812177A1ee48115,430.0,0.0
0x00ea23fD66eeD536E173FfF6c46687eBa8077f5F,400.0,0.0
0x00f1E74eC6E7b43feF92AdbFC7C51dc736c32D55,430.0,0.0
