level,centrality,metric_column,retention_label,count,mean_log,std_log
community,degree,degree,all,31235,1.4137606774921747,0.8795875749369996
community,degree,degree,0,28510,1.379389063773386,0.8492622097018063
community,degree,degree,1,2180,2.007795957169193,1.0837032479014534
community,weighted_degree,weighted_degree,all,31235,6.033682317745544,1.80907354589837
community,weighted_degree,weighted_degree,0,28510,6.015637307234781,1.7419343282145927
community,weighted_degree,weighted_degree,1,2180,6.7238625718964915,2.2410124732125642
community,clustering,clustering,all,31235,0.2490264350088654,0.29640477830543005
community,clustering,clustering,0,28510,0.24589811180929244,0.2970137394940432
community,clustering,clustering,1,2180,0.3409988587718966,0.2818145044129571
community,betweenness,betweenness,all,31235,0.0021730540009864767,0.020801177128102012
community,betweenness,betweenness,0,28510,0.0020240286963930185,0.020697253867441062
community,betweenness,betweenness,1,2180,0.004665267700297087,0.024286796433669215
