level,centrality,metric_column,retention_label,count,mean_log,std_log
global,raw_degree,raw_degree,0,28510,1.3939756964531254,0.8736129062468976
global,raw_degree,raw_degree,1,2180,2.02292997972616,1.101776267722635
global,betweenness,betweenness_centrality,0,28510,6.844509459498146e-05,0.0014033557535739138
global,betweenness,betweenness_centrality,1,2180,0.00019515552948776174,0.001082697470389191
global,clustering,global_clustering,0,28510,0.2450095699304498,0.29450755690967145
global,clustering,global_clustering,1,2180,0.3384951083623158,0.2813824761985436
global,weighted_degree,weighted_degree,0,28510,6.08610446604722,1.7244521011331204
global,weighted_degree,weighted_degree,1,2180,6.765582740247315,2.2470029241148604
community,degree,degree,0,28510,1.379389063773386,0.8492622097018063
community,degree,degree,1,2180,2.007795957169193,1.0837032479014534
community,weighted_degree,weighted_degree,0,28510,6.015637307234781,1.7419343282145927
community,weighted_degree,weighted_degree,1,2180,6.7238625718964915,2.2410124732125642
community,clustering,clustering,0,28510,0.24589811180929244,0.2970137394940432
community,clustering,clustering,1,2180,0.3409988587718966,0.2818145044129571
community,betweenness,betweenness,0,28510,0.0020240286963930185,0.020697253867441062
community,betweenness,betweenness,1,2180,0.004665267700297087,0.024286796433669215
