user,motif_type,peers,user_count,global_count
0x4AB73CfaC1732a9DcD74BdB4C9605f21832D7C72,cycle_3node,"('0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31', '0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435')",6,6
0x4AB73CfaC1732a9DcD74BdB4C9605f21832D7C72,cycle_3node,"('0x4AfD04b9eD17759B362c8C929207Fe7ad81C39d3', '0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435')",3,3
0x4AB73CfaC1732a9DcD74BdB4C9605f21832D7C72,cycle_3node,"('0x1Cd5E7946ff452A403Fbc0DCc8151D4dC0864431', '0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x4AB73CfaC1732a9DcD74BdB4C9605f21832D7C72', '0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x4AB73CfaC1732a9DcD74BdB4C9605f21832D7C72', '0x4AfD04b9eD17759B362c8C929207Fe7ad81C39d3')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x95db9ba27Ecf0C8F9b970e76C4d47DC76F94Cc8d', '0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31', '0xc609eCB6bA66255DedB7a880c742Cb0DaeE90887')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x4AfD04b9eD17759B362c8C929207Fe7ad81C39d3', '0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xE3208eae59B4cd48BC99178a6fcf2308d72986B4', '0xF7Ab48c172f7b233e2B973d723612e52013cc058')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x3E3d9f6c76179998163eA65f296007c08095A034', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xE3208eae59B4cd48BC99178a6fcf2308d72986B4', '0xFc685Fd277e6C12E0285d9Beb347FEC4AE2931a8')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x61C2c1d9235bc56E225dE54aEFF06B0B403a2a9f', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x278Cae154D50421d72A3BE31BF0a17bA95a299be', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x40f9C0702C665ec3a1D3f820a8A7EE49A2c83700', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x05C65311DBd2d19D379E81FAB701728850fB056b', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x9E6D1847b0A3724c83061bf66Cbad11AdCc903f4')",3,3
