user,motif_type,peers,avg_time_gap_sec
0x4AB73CfaC1732a9DcD74BdB4C9605f21832D7C72,cycle_3node,"('0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31', '0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435')",38526.317852
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x4AB73CfaC1732a9DcD74BdB4C9605f21832D7C72', '0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31')",38526.317852
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31', '0xc609eCB6bA66255DedB7a880c742Cb0DaeE90887')",14225964.2853155
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x4AfD04b9eD17759B362c8C929207Fe7ad81C39d3', '0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31')",38023.292474
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xE3208eae59B4cd48BC99178a6fcf2308d72986B4', '0xF7Ab48c172f7b233e2B973d723612e52013cc058')",2855243.4685035003
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x3E3d9f6c76179998163eA65f296007c08095A034', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",2851300.6570365
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xE3208eae59B4cd48BC99178a6fcf2308d72986B4', '0xFc685Fd277e6C12E0285d9Beb347FEC4AE2931a8')",3027089.522259
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x61C2c1d9235bc56E225dE54aEFF06B0B403a2a9f', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",2804059.9376255
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x278Cae154D50421d72A3BE31BF0a17bA95a299be', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",3377641.944292
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x40f9C0702C665ec3a1D3f820a8A7EE49A2c83700', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",4594181.234142
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x05C65311DBd2d19D379E81FAB701728850fB056b', '0xE3208eae59B4cd48BC99178a6fcf2308d72986B4')",6752616.869816
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x9E6D1847b0A3724c83061bf66Cbad11AdCc903f4')",1208968.5230055
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",1562245.3531235
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xFeeae8619e0524D2D586f3d35188FBA871CD6461')",2280260.4231755
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x76f4aFB48cf340E8423889E82dD3Ad5c3bAA9941')",5054675.4005135
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xefe73D9cDbcF240f563564b92e3F755B9984AF1e')",1287244.9814590001
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x4cF84C76896f0c625A4E3d4F012be77C4fbF0056')",12708686.814452998
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xE133b906915Ea963C04e5b467866d0a4894F82Cc')",2678199.2989295
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xD80C9F458362A018dc7732F4d823eeE6dfcf6ac3')",3813454.6452519996
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xC10fF4f7dA801a365a75516E9a0763F82333E6F8')",4331846.226801
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xDd001826421DA5B0dcFf3E652fE429103Fe6faA1')",1250276.1352495
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x92F5Ae36Cd78d7e39C8B70e166c0226731b92E51')",12834103.113951001
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x653d0dFA525284aF1ce89a70Ca33509856811f90')",12707483.8950075
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xBC9F9E079E84f885F992d4C281f31b2530A5CE5a')",12834274.18203
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x6e4849e49c250063546280a7232548248DD858b8')",12834817.1995265
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xCf5A5451a91786123738e0F983b1Cb7202245601')",12788936.854611
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xA74eD1e697027493b31567db68c30a8305FF4068')",12788563.851682
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x7c361924Bf16ef8688FfD1bE80be53Db81f94aa8')",2721898.198247
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xFeeae8619e0524D2D586f3d35188FBA871CD6461')",2288709.0532685
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x29bbB92F7858d0A493D890711cABE5F0BCb90796')",4371742.199636
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x0B1660298be52C745714378C2B6a450FE8234354')",3157170.363765
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xDBbE0a2f6Fbc182f5606ED66367C019a934C7a31')",2338416.8899149997
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC')",4806361.923405999
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a')",2762132.1785609997
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x0Ea500264133226dEb742F3276508f9085EB1190')",5310345.9804605
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xe6f7Aed76ceF4f8D71513ad299f5ec0835339c74')",2908435.3638945
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x5fe49C19e74Af46053C9dD1eA44f5755Ee643b90')",3667120.352485
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",2862057.4208005
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x76f4aFB48cf340E8423889E82dD3Ad5c3bAA9941')",5052577.5483155
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xC10fF4f7dA801a365a75516E9a0763F82333E6F8')",3501431.6568245003
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xFeCbc325Ea7bd25d7Fb25F2664152c801e3160b1')",3682197.400383
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xCc9c78C92f796962a1290e423Ba72f62b5dF31DC')",3800023.189943
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x9Ad97d8eE906b924be225B7816c2cc893Df0dd00')",3543166.9356764997
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x8B749C23268D7931D745ac8E35602bcD09a8eB7f')",3709485.0003475
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x4E1705588D550AD98c9BE0F554e1e8e0FCd2303C')",5271799.403395
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x70B4F2F7CB0C3F07c8746D631B3717Dc4eE6FFeb')",4926250.255827
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x6Dcdd80eab967937DB53544dB4a6FDb69a340be5')",4706824.0885445
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x3d4954143905471CD1C43F76392524c4eE0c39af')",4706880.012736
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x8979B16327fc362B2991344Ae8614F223E0AFa33')",5784134.8488825
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x76f4aFB48cf340E8423889E82dD3Ad5c3bAA9941', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",5052376.1575
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xFeeae8619e0524D2D586f3d35188FBA871CD6461', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",2123534.4006855
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",2761930.7877455
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7', '0xefe73D9cDbcF240f563564b92e3F755B9984AF1e')",2812734.3646400003
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x0Ea500264133226dEb742F3276508f9085EB1190', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",5310144.589645
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xDBbE0a2f6Fbc182f5606ED66367C019a934C7a31', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",2123803.065209
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xE133b906915Ea963C04e5b467866d0a4894F82Cc', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",401972.0374525
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x5fe49C19e74Af46053C9dD1eA44f5755Ee643b90', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3666918.9616695
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xDd001826421DA5B0dcFf3E652fE429103Fe6faA1', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",875929.7145185
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0xCc9c78C92f796962a1290e423Ba72f62b5dF31DC', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",3799821.7991275
