address,retained_20_x,degree_global,retained_15_x,not_retained_15_x,retained_20_y,not_retained_20_x,retained_25_x,not_retained_25_x,retained_30_x,not_retained_30_x,retained_35_x,not_retained_35_x,retained_40_x,not_retained_40_x,retained_45_x,not_retained_45_x,retained_50_x,not_retained_50_x,weighted_degree_global,retained_15_y,not_retained_15_y,retained_20_x,not_retained_20_y,retained_25_y,not_retained_25_y,retained_30_y,not_retained_30_y,retained_35_y,not_retained_35_y,retained_40_y,not_retained_40_y,retained_45_y,not_retained_45_y,retained_50_y,not_retained_50_y,clustering_global,retained_15_x,not_retained_15_x,retained_20_y,not_retained_20_x,retained_25_x,not_retained_25_x,retained_30_x,not_retained_30_x,retained_35_x,not_retained_35_x,retained_40_x,not_retained_40_x,retained_45_x,not_retained_45_x,retained_50_x,not_retained_50_x,betweenness_global,retained_15_y,not_retained_15_y,retained_20,not_retained_20_y,retained_25_y,not_retained_25_y,retained_30_y,not_retained_30_y,retained_35_y,not_retained_35_y,retained_40_y,not_retained_40_y,retained_45_y,not_retained_45_y,retained_50_y,not_retained_50_y,community_size,degree_community,weighted_degree_community,clustering_community,betweenness_community,degree_mean_comm,degree_std_comm,weighted_degree_mean_comm,weighted_degree_std_comm,clustering_mean_comm,clustering_std_comm,betweenness_mean_comm,betweenness_std_comm,cycle_3node_user_count,reciprocal_user_count,cycle_3node_avg_gap_days,reciprocal_avg_gap_days,cyclic_status
0x0001675DF6B94d354818BD6DdB6FE2695Bbfce1D,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1228,1,400.0,0.0,0.0,4.814332247557004,14.206523856723049,3423.3501628664494,17055.351144043972,0.1155517708665604,0.2962606034014107,0.000320173490529,0.0022695356600047,,,,,acyclic
0x00036d3df07bA5d3EC5ed4aA87d15AcAE5FB00F0,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,404.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3629,3,404.0,1.0,0.0,5.942132818958391,45.865413126332655,1936.8898815100576,13483.479361373666,0.4177608750843236,0.4538680499471084,0.0004874768875243,0.0097548798564845,3.0,1.0,13.078682773640047,0.0013014693287037038,cyclic
0x0003dBe134FF070E07E2A286Fa6532C6F0140429,0,0.0007739938080495,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,510.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2973,2,510.0,1.0,0.0,4.842246888664649,19.429852898163546,1870.74128489741,12078.118271068706,0.3388477409985023,0.425584224538498,0.0004291220397167,0.0042054826140931,,,,,acyclic
0x00051a513042bcd7eAfF2c6488a2eE0dBfD01625,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3629,1,400.0,0.0,0.0,5.942132818958391,45.865413126332655,1936.8898815100576,13483.479361373666,0.4177608750843236,0.4538680499471084,0.0004874768875243,0.0097548798564845,,,,,acyclic
0x0005a5bC0fB4100Bb887D2C8421c48FA75C68477,0,0.0019349845201238,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,489.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8333333333333334,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3.2977165900301222e-06,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2973,5,489.0,0.8333333333333334,7.753949417267579e-05,4.842246888664649,19.429852898163546,1870.74128489741,12078.118271068706,0.3388477409985023,0.425584224538498,0.0004291220397167,0.0042054826140931,6.0,1.0,,0.0013943282407407407,cyclic
0x000740f81d8Ffddd847109a9c9113a9Cab987AFF,1,0.0340557275541795,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,115689.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2800608828006088,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.1820683871524206e-05,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1008,88,115689.0,0.2800608828006088,0.000972390475096,34.654761904761905,56.02317098604411,35958.47420634921,82309.0801823473,0.4190144057988976,0.3139338996057366,0.001586262363086,0.0104162131503995,831.0,15.0,40.72694706470021,44.68295867522404,cyclic
0x0008Cb8E2aF7f1e97EE572dAED2638d121932A14,1,0.0027089783281733,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1265.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5333333333333333,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,4.998231539232979e-07,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,747,7,1265.0,0.5333333333333333,0.0006014644476613,7.421686746987952,15.655137687834795,844.2947791164657,3765.298262383024,0.3442538886997847,0.3884959054532184,0.0032683215604078,0.017834170614216,,1.0,,0.35694870266203704,cyclic
0x000CE8652c1a20E0967d8CE70FC258ad237C2fB3,0,0.0007739938080495,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,453,2,400.0,1.0,0.0,9.26710816777042,16.214183122128592,8738.90105960265,27102.962416558214,0.4151029145777951,0.4249988153673856,0.0047969593488138,0.0242179217965832,3.0,,18.075958073530092,,cyclic
0x000EF47DB80359855bb6AFE00232a36f7c1Ba178,0,0.0162538699690402,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,42380.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5612648221343873,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2.214858110213568e-05,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,190,37,40080.0,0.6842105263157895,0.0030119653722447,12.91578947368421,16.737729870722777,7505.284105263157,15080.557023602896,0.595086464531002,0.3667167699271837,0.009097507361785,0.0460108202618321,675.0,19.0,22.24880141747801,14.649008424136447,cyclic
0x001484BA4b97390a7d4Dc7933A510704647D7681,0,0.001547987616099,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,220.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3.19447134536126e-05,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2499,4,220.0,0.6666666666666666,0.0004022751300898,4.510604241696679,14.894779997434542,2100.224665866346,13485.484495579558,0.2490493125267865,0.3763440658084806,0.0004880876715648,0.0039032754047014,6.0,,13.456052291886573,,cyclic
0x00189470f8A415546AddD7c264EC0CbB5C88dECC,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,140.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1154,1,140.0,0.0,0.0,7.492201039861352,14.07317112599388,5310.242634315425,17469.94399961194,0.4212308719793363,0.4176418790607702,0.0007926305555263,0.003190893863898,,,,,acyclic
0x00191D4baca8ED9D8Fe5983610e6002936A79157,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,521,1,100.0,0.0,0.0,3.9616122840690977,18.259835718660344,1173.6804222648752,5771.594667056816,0.2884699454321432,0.4232625474414213,0.0015948724776235,0.0159782777872594,,,,,acyclic
0x001c1dd54Bf28ebCC5aC3D8FEe228d04F5Fe3581,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,350.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2897,1,350.0,0.0,0.0,6.592336900241629,19.17046558247583,7195.344252675181,32585.73930725987,0.2296100331089244,0.3703063669739445,0.0003907564024553,0.0026768606160134,,,,,acyclic
0x001fc441577436e96b240763083AC967E06AD95D,0,0.0019349845201238,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,550.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2.4270998802340764e-07,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2499,5,550.0,0.3333333333333333,8.228402761524767e-06,4.510604241696679,14.894779997434542,2100.224665866346,13485.484495579558,0.2490493125267865,0.3763440658084806,0.0004880876715648,0.0039032754047014,3.0,1.0,16.0158255414294,0.002953001435185185,cyclic
0x0023aF4Dd82F07b02cC846e4B6008092e1914faa,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2897,1,400.0,0.0,0.0,6.592336900241629,19.17046558247583,7195.344252675181,32585.73930725987,0.2296100331089244,0.3703063669739445,0.0003907564024553,0.0026768606160134,,,,,acyclic
0x002B4b2bC7428D014aF0893B8F6691544764ac6e,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2897,1,400.0,0.0,0.0,6.592336900241629,19.17046558247583,7195.344252675181,32585.73930725987,0.2296100331089244,0.3703063669739445,0.0003907564024553,0.0026768606160134,,,,,acyclic
0x002EfB68C358689E37Af7E1A03C90bBD26b94C87,0,0.0313467492260061,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,90282.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1781551781551781,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0001331944869414,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1008,80,87282.0,0.1828434723171565,0.0023587371022915,34.654761904761905,56.02317098604411,35958.47420634921,82309.0801823473,0.4190144057988976,0.3139338996057366,0.001586262363086,0.0104162131503995,216.0,3.0,54.365739705969254,25.17787982719136,cyclic
0x00305044fbB4784222d81Bc58329c7c42f083701,0,0.018188854489164,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,42078.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4086021505376344,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5.8922054421445326e-05,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,493,47,42078.0,0.4086021505376344,0.0165209448054116,9.018255578093306,15.831611098019591,5752.117647058823,16563.126037573264,0.3574308449489584,0.3945980316231746,0.0042256015525622,0.0141152395668513,603.0,16.0,12.303285619443136,2.373835982261396,cyclic
0x00324C4D0659357273810Eeb89B9Af0BaEf41d62,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1008,3,440.0,1.0,0.0,34.654761904761905,56.02317098604411,35958.47420634921,82309.0801823473,0.4190144057988976,0.3139338996057366,0.001586262363086,0.0104162131503995,,1.0,,0.0007722377893518518,cyclic
0x00329bf710d92fb45912793FCe71CD954E0F5230,0,0.0007739938080495,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,217.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1147,2,217.0,1.0,0.0,5.743679163034002,17.701782126834274,2380.003487358326,10143.507753545398,0.4678691701954433,0.4623422753775169,0.001737500003239,0.0128019210839385,,,,,acyclic
0x0033003c9fA1Ab095F5387dAfB6F2385a0C7647b,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,472.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3629,3,472.0,1.0,0.0,5.942132818958391,45.865413126332655,1936.8898815100576,13483.479361373666,0.4177608750843236,0.4538680499471084,0.0004874768875243,0.0097548798564845,3.0,1.0,,0.0015609956944444444,cyclic
0x0038316Acd043860a43E7a1D71dE2De61CA96cFC,0,0.0061919504643962,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,19721.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4090909090909091,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0005617654756378,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2499,16,19721.0,0.4090909090909091,0.0027566270621281,4.510604241696679,14.894779997434542,2100.224665866346,13485.484495579558,0.2490493125267865,0.3763440658084806,0.0004880876715648,0.0039032754047014,54.0,4.0,51.9353599333941,1.4884866531944443,cyclic
0x003d67587327e151CF161d28AB7244547A227Dff,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1154,1,400.0,0.0,0.0,7.492201039861352,14.07317112599388,5310.242634315425,17469.94399961194,0.4212308719793363,0.4176418790607702,0.0007926305555263,0.003190893863898,,,,,acyclic
0x0043f931d93BCe223AB4930679f9978904e921BE,0,0.0027089783281733,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1525.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3.3248551178285776e-05,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2499,9,1525.5,0.1944444444444444,0.0003099081740928,4.510604241696679,14.894779997434542,2100.224665866346,13485.484495579558,0.2490493125267865,0.3763440658084806,0.0004880876715648,0.0039032754047014,,,,,acyclic
