address,gender,area_name,area_type,business_type,held_roles
0xBAB77A20a757e8438DfaBF01D5F36DD12d862B31,Male,Kilifi,periurban,food,beneficiary
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,Male,Mukuru Nairobi,urban,labour,beneficiary
0xeFad5486432a5b4F2b31B13520b7C1393e87f531,Male,Misc Nairobi,urban,food,beneficiary
0x6687836526E5424326a270D1400618aA13540850,Male,Misc Nairobi,urban,shop,beneficiary
0xD239dc570429CcaEE66724108Ef4cAf1ea059479,Female,Misc Nairobi,urban,food,beneficiary
0xD6766d6452439121293114b1B86B59007404e0a0,Female,Misc Nairobi,urban,shop,beneficiary
0xaA7Fd999dC10D9F954b1EE1a4729c52105dD5FB9,Female,Misc Nairobi,urban,food,beneficiary
0x7002Fde3A429FaB3a6e38FC63751B7368f6E1e8b,Female,Misc Nairobi,urban,shop,beneficiary
0xfDa3ab16Ad9AE93a09fAE301e08035d1CF970D95,Female,Misc Nairobi,urban,labour,beneficiary
0xdfe2C99A4C0EA54c0B30896eb1DEEAbb77be14aa,Female,Misc Mombasa,urban,food,beneficiary
0xE2982a6839D681C2eF73bA41364258420d6f998e,Female,Misc Mombasa,urban,food,beneficiary
0x33ef718d4EF71d6b32653e372952799b97D44960,Male,Misc Mombasa,urban,education,beneficiary
0xbbc5b9fF52C20C9a80e6DC19994Ca2D23f988631,Female,Misc Nairobi,urban,food,beneficiary
0x19AD30eB4210B8e4a2DBb2c4b4Fc92cf1b6fC916,Female,Misc Nairobi,urban,food,beneficiary
0x940dbBDacbe3f0b89B7Ab6b40686703374C49dE9,Male,Misc Nairobi,urban,shop,beneficiary
0xc973068c9a2A5fA5d34C2960ac96dE772d8224d5,Female,Misc Nairobi,urban,food,beneficiary
0x6A2B4Cf870F2a26aE5C27062F1a612812fEd8ceB,Female,Misc Nairobi,urban,shop,beneficiary
0xe34df17E703751b7fEB6711d5CB19387f0F00464,Male,Misc Nairobi,urban,education,beneficiary
0x9e836c58337c04fe5814011e8400889c5a0E3046,Male,Misc Nairobi,urban,shop,beneficiary
0x76B040153b5C908e8b91275DEa0589324d5eF56b,Male,Misc Nairobi,urban,faith,beneficiary
0x5445111De69738e3C01384a2864bfca300bda706,Female,Misc Nairobi,urban,education,beneficiary
0x5811E89A86021CD16EBe1701cCB2295FBe276739,Female,Misc Nairobi,urban,food,beneficiary
0x25Ab66c6aeAacf0F5c5611587f867aAf7E1e39A9,Female,Misc Nairobi,urban,food,beneficiary
0x15a7b4E7B03aE1b5B2700Ef6a838edb312e43574,Female,Misc Nairobi,urban,food,beneficiary
0x2B7548080df3D050F881937119489372EdafFCDC,Male,Misc Nairobi,urban,transport,beneficiary
0xA9B4cfA1e25763dCad51569565D69cE8e12fe793,Female,Misc Nairobi,urban,shop,beneficiary
0x8e0BAD38203BBB8Fd9C72e4F5ee2Eb105a273CA9,Female,Misc Nairobi,urban,food,beneficiary
0x61381fb6333EFCf0A227cD3c69EE585F7f1547a9,Female,Misc Nairobi,urban,food,beneficiary
0xDaD5d80198b464fF82435328d8892aBBf36063eB,Male,Misc Nairobi,urban,shop,beneficiary
0x21582C6D02E71D38Bfdb4f88E59487c3102b9C1F,Female,Misc Nairobi,urban,fuel/energy,beneficiary
0x5Af7cb3B573c3d2BA3DB1F853F4a4F5f577FfFE8,Female,Misc Nairobi,urban,labour,beneficiary
0x5f6ed9F6C82eaE11e126550fC5B83a884dAAedF9,Male,Misc Nairobi,urban,transport,beneficiary
0xA70af8D0c0C0247Fa918F6b92BD5e0A6c271d749,Male,Misc Nairobi,urban,shop,beneficiary
0xd7443aA21864987a2709889E62BB075855Fa995a,Female,Misc Nairobi,urban,food,beneficiary
0x36A2D8C43F15893c68d1459D5DacBAF890A08f82,Female,Misc Nairobi,urban,food,beneficiary
0xFc593A094f18f77D6868D09058FA81DCcDA39Aea,Male,Misc Nairobi,urban,education,beneficiary
0xAfEa96553bCDD27d3AbBb32D2be76598830b1d24,Female,Misc Nairobi,urban,education,beneficiary
0x6850d0dc1b2b5B4E4b6B43049a2BF9278AAc51Ee,Female,Misc Nairobi,urban,education,beneficiary
0xbb8DaeFA142CC58D18D1f99BF2dE22Bfec141e01,Female,Misc Nairobi,urban,shop,beneficiary
0x72BCb5a835d7282674f1D5D93964A354Ea4F0555,Male,Misc Nairobi,urban,education,beneficiary
0x31DaefE41DcDd0343CA57b7887faE9E408232F08,Female,Misc Nairobi,urban,food,beneficiary
0x8F81018B32064bE23B431Cc638c4a1d6BE1F4503,Female,Misc Nairobi,urban,health,beneficiary
0xAd9D058E89129319aEbD5C519e0C0995FD4124E2,Male,Misc Nairobi,urban,labour,beneficiary
0xC1BFb6FA2E92E9491465eCF9F7753AB99473D8c8,Male,Misc Nairobi,urban,health,beneficiary
0x9dB28D1c4993CF1D089692E3059B40a4Add893c3,Female,Misc Nairobi,urban,shop,beneficiary
0x338b84A3B9b99114A210f246C50A9Bd76d28E013,Male,Misc Nairobi,urban,labour,beneficiary
0xd074d9544618DD59689BfD4a451B1880161b82a9,Male,Misc Nairobi,urban,labour,beneficiary
0x796bf94dE85d10C49f44B5358C2326174D72a4FF,Female,Misc Nairobi,urban,labour,beneficiary
0x87a3D844eBa40FA52349a9372DfaA57dEb8e6395,Female,Misc Nairobi,urban,shop,beneficiary
0x5E540A7c6DA344B15E523aF8C35526310c805db0,Female,Misc Nairobi,urban,labour,beneficiary
0x4f59d765ad40eCf5bB5A9626b4c25f1DB5840f0e,Male,Misc Nairobi,urban,education,beneficiary
0x86E3ebE5F32fdEbC81a4DE47671a81faE54637Bb,Male,Misc Nairobi,urban,fuel/energy,beneficiary
0x40da12E13F1D9aCbbAe4369C03f21D3477815a32,Male,Misc Nairobi,urban,fuel/energy,beneficiary
0xd8F9Bf28411f89146135e5C875973bDDD27296bd,Female,Misc Nairobi,urban,health,beneficiary
0xCEaa4b6C02f3665794a20910356907726c52Bb23,Male,Misc Nairobi,urban,labour,beneficiary
0xe449736087a1503B04FC5D7c3A93998DF0cAffBa,Male,Misc Nairobi,urban,fuel/energy,beneficiary
0x63618074f084A4B03B02F02fa357FF41fCCDd480,Male,Misc Nairobi,urban,fuel/energy,beneficiary
0xCF1a9761A958E57C19b456638159A4b30dD3aE0F,Male,Misc Nairobi,urban,water,beneficiary
0x9aB599Ee9012eBeaefEf23aA5Ed8E46f261cA7Fb,Male,Misc Nairobi,urban,food,beneficiary
0xd8d9AAc92635326B5DEcDF3EB583CaBa85fEB418,Female,Misc Nairobi,urban,labour,beneficiary
0xDccAE76d01534A6a2f2826D8Dbc87069BCf89773,Female,Misc Nairobi,urban,education,beneficiary
0xc8Eb8d21e432483895A1453eB5A588f078784572,Female,Misc Nairobi,urban,fuel/energy,beneficiary
0x071D09c1dA32c7f77E4F570725d933e9C9Ca4332,Female,Misc Nairobi,urban,transport,beneficiary
0x740aFb9B62aD8776e761DD14983fb37BE4085a37,Female,Misc Nairobi,urban,transport,beneficiary
0x846b6659A59d8e63E355E82d0B1A18b2586237C6,Female,Misc Nairobi,urban,shop,beneficiary
0x66b63bE33ec9979A807B5319F6AfEdE7eA580a44,Male,Misc Mombasa,urban,food,beneficiary
0xD8c08AEb389F078daf59a7672Ca701D32280231b,Male,Misc Nairobi,urban,education,beneficiary
0xC9ba927Fe5E6a47B20fadC26942A9cC6Bf441b26,Female,Misc Nairobi,urban,shop,beneficiary
0x67F673E348E2B5acDbc3F2dB8AC9E450fb12DAba,Female,Misc Nairobi,urban,labour,beneficiary
0x44FbEB968654B3D2Bcdd64a6E91448891954C989,Female,Misc Nairobi,urban,food,beneficiary
0x0494f8028e334C5cEe9216c413b76d8d9f5f5Aeb,Female,Misc Mombasa,urban,water,beneficiary
0x29c8c5Ee5fA7Bbe365e922E8C6eccb3Bc03a752C,Male,Misc Mombasa,urban,shop,beneficiary
0x0CfeCD4bF4E70bEF24B93749E5Fd9De7D5fc6E48,Female,Misc Nairobi,urban,food,beneficiary
0xEC61D7e4680b1F2B078531A9174186c8c8379eb1,Female,Misc Mombasa,urban,water,beneficiary
0x2957ED896b61b2aCe3aF29F4EfbA0687646F7bc7,Male,Misc Mombasa,urban,labour,beneficiary
0x7540b2Db3968ef257F04c80C3543471948D8Ab0f,Male,Misc Mombasa,urban,shop,beneficiary
0xCF011c86136D7c51E44Ab4bf05149fe9C0Da083D,Female,Misc Nairobi,urban,food,beneficiary
0x4e3c9B922a379710F7fD9992fc00D89F454AAD63,Female,Misc Mombasa,urban,food,beneficiary
0x2467232D51E7fAc2c0969cC17B0BB21F8e57CfdE,Male,Misc Mombasa,urban,labour,beneficiary
0x52E8e30999f26FfebA57E9298dc687cD4015b81D,Male,Misc Nairobi,urban,labour,beneficiary
0xC2DF11909E804Db59c73838005D47A5d00c61147,Female,Misc Nairobi,urban,food,beneficiary
0x4B38aEb27774E4611c096a4aB44c05D06BBC3aA4,Female,Misc Mombasa,urban,health,beneficiary
0xDe215AFf6367D1a92c50b352f7490bBABF60b407,Female,Misc Nairobi,urban,shop,beneficiary
0x6cFc556D904c13287969e592fff74f4a06F127D8,Female,Misc Mombasa,urban,food,beneficiary
0x492Ef5d68884C94D6B4046657f519B33834778c4,Female,Misc Mombasa,urban,water,beneficiary
0xd32cdb17f724FDC98a66F987391d06fb1e3e031F,Male,Misc Mombasa,urban,shop,beneficiary
0x093d09526BE112c11D00379732921A64f234F336,Female,Misc Mombasa,urban,food,beneficiary
0xdc99472d46a38bD28FB4a19353f4954269DFdFEC,Male,Misc Mombasa,urban,food,beneficiary
0x2a8A0d620a609D2e7B2A3Fa3B1238E4448A6C720,Female,Misc Mombasa,urban,food,beneficiary
0xBd48f340A67232e2Dee0Bb7fF3F0a24D78E52199,Female,Misc Mombasa,urban,water,beneficiary
0x6B070f366a915f423657cB04eAFB121227cC1D35,Female,Misc Mombasa,urban,food,beneficiary
0x0AA82846e00697C2988fb899316FC09695920C54,Female,Misc Mombasa,urban,food,beneficiary
0xE6Ad650cd5e7cd85155BF77B5013F828144a517b,Male,Misc Mombasa,urban,education,beneficiary
0x16c64f4B37A59D0C5165aC4b8355212B90e08dF4,Female,Misc Mombasa,urban,fuel/energy,beneficiary
0x7088De6278975bADD5e7DDFF7613bC6594699331,Male,Misc Mombasa,urban,food,beneficiary
0x7C2eE1B8Ae9b928febD9aC5B461346c9241E6592,Male,Misc Nairobi,urban,health,beneficiary
0x5c4FAa77B9D9Ac690bd8748b280f91Cf04081D67,Female,Misc Mombasa,urban,food,beneficiary
0xed2567988E3EeF1Fb00545C3828f3FaD13C11910,Female,Mukuru Nairobi,urban,shop,beneficiary
0x8319Dd67f050eA21968a5205c616c21958bFCB10,Female,Misc Mombasa,urban,shop,beneficiary
0x823B9B99A299576eF344A422E64f49F7F86805d2,Male,Misc Mombasa,urban,shop,beneficiary
0x05F138eae5B65Ba956E16e4177572dE332582C76,Male,Kilifi,periurban,faith,beneficiary
0xEE2266C2485eE2271Bf6Fa7ac89caF55398e722d,Male,Misc Nairobi,urban,labour,beneficiary
0xca829be2A307b1d5d49F1f5e110C82d4a4ba8Fd6,Female,Misc Nairobi,urban,health,beneficiary
0xE3208eae59B4cd48BC99178a6fcf2308d72986B4,Female,Misc Nairobi,urban,food,beneficiary
0xE9f906Bb6689b2c0A235a6Eb54776D6A6De5eea2,Male,Misc Nairobi,urban,shop,beneficiary
0xB3F53d4a745abd55491165F3c762aEcb004ce708,Female,Misc Nairobi,urban,labour,beneficiary
0x558D0C363EfbC109Ded8B9e549e1025528F48d89,Male,Misc Nairobi,urban,labour,beneficiary
0x7dB52508903c5e937c6AE69d2d6E36215D7db881,Female,Misc Nairobi,urban,education,beneficiary
0x0A5af15eFCC32304D1DA9e6d1f88173253dA3682,Female,Misc Nairobi,urban,education,beneficiary
0xFf767F097563d016b7e848FF6157D9FFc1EeA36c,Female,Misc Nairobi,urban,education,beneficiary
0xF00254e2022B27cF140b20E56998326273FddF5c,Female,Misc Nairobi,urban,shop,beneficiary
0xF9671Dd022672A5d58fbDD0d9DC4ff9e67C9b6A6,Male,Misc Nairobi,urban,education,beneficiary
0x1E313502bC92000d93ea602dbf31d514BC3C2F74,Female,Misc Nairobi,urban,education,beneficiary
0x75704236fAbA45cf494cC0FE64ED1aDE6252789E,Female,Kilifi,periurban,food,beneficiary
0x07a0AbE423947B1d9F1a1bc487e4A94Aa5A55264,Male,Misc Nairobi,urban,education,beneficiary
0xccc04f7182B1d955ceCf42692Eb605b0f78c60EB,Female,Misc Nairobi,urban,labour,beneficiary
0xC3FAaaD92123b87c8fa2Bb26E0010dceca4F37AE,Female,Misc Nairobi,urban,labour,beneficiary
0x9DaAF7682cf81479B4E9e06441c1a061fF1156BD,Female,Misc Nairobi,urban,labour,beneficiary
0xBCbE8717452503C3e84184D86D3f8023381b9b37,Female,Misc Nairobi,urban,education,beneficiary
0x0ca7c91a9342eA62952918717Dc3f6C537Ff48Ac,Male,Misc Nairobi,urban,education,beneficiary
0x162Df35B79D06E386C58Fcd64c23d1Edc9DFd292,Male,Misc Nairobi,urban,shop,beneficiary
0x3E8D43fE2C614702B62517326466F7534CB11E29,Female,Kinango Kwale,rural,other,beneficiary
0x87cd19d8280422163c09e4Ada327B8948e584e16,Female,Misc Nairobi,urban,shop,beneficiary
0x26d1C56bf9e6ddfC19017Fe6654D3f66Ae58D46A,Male,Kilifi,periurban,shop,beneficiary
0x166bECe68B1e82F96643BD766822F08bE84F1D2d,Female,Misc Nairobi,urban,labour,beneficiary
0xc8091E0ab95891e52519727eBf213D24E742e5Cd,Male,Kinango Kwale,rural,food,beneficiary
0xd3f1AAf63cD8C751c78Ad461B2Cf120d2039B30F,Male,Kinango Kwale,rural,food,beneficiary
0x62e876526A73fB7E61dFA5Ab660503030fB56fe5,Female,Kinango Kwale,rural,food,beneficiary
0x3DC300eef574dFfe59C1A2Af7732D6Ec04AFb1A0,Female,Kinango Kwale,rural,food,beneficiary
0x541ff4c3FA8143F87AD1CA81a3BFC0B256090387,Female,Kinango Kwale,rural,labour,beneficiary
0xFfd6BCb573F23a8C35aEDa215d483201675ab23A,Female,Kinango Kwale,rural,water,beneficiary
0x923ABABD7575C4649E51F3AF7680Da59e93f0BE5,Female,Kinango Kwale,rural,education,beneficiary
0xe0BcD09C61060e19c3e02d8DE7dC1A2405b400b0,Female,Misc Mombasa,urban,food,beneficiary
0x60976A145eE33bcE143759c01096379c5FA64259,Female,Misc Mombasa,urban,labour,beneficiary
0xD0c67bFc7831F9Fc9eF71434f106C75f8610eFA0,Female,Kinango Kwale,rural,fuel/energy,beneficiary
0x56239fDE862bED90325B3275C337B5462905Dbc7,Male,Kilifi,periurban,food,beneficiary
0x3C8104d6A49a431Cd8574bDcE42B14bFB503E15e,Male,Kilifi,periurban,food,beneficiary
0xE61EdC4c6d8CB60cb5b1A28cB11aAB331eC6AcD7,Male,Kilifi,periurban,food,beneficiary
0x348C9133A68538A468d1efD308Ce314352A5B8b7,Female,Kilifi,periurban,food,beneficiary
0x054d5fa4e4359626FebA267f71c7d04b5Ba48e46,Male,Misc Nairobi,urban,education,beneficiary
0xeB57D02eD9054F8413301a35024E3FF147899E32,Female,Misc Nairobi,urban,education,beneficiary
0x2b2ADED04303F79045d5E1d4A13f47A22a5A7994,Female,Misc Nairobi,urban,education,beneficiary
0x56aD692e2cAf231BaE7ad7b777B36bBf6659CF81,Male,Misc Nairobi,urban,education,beneficiary
0xd51244e788f6B34b8F53C8fBdc95CdB4320443De,Female,Kinango Kwale,rural,food,beneficiary
0xe79426995a75018905B8c7EDEDC90E186759e26E,Female,Kinango Kwale,rural,food,beneficiary
0x53Ce5a7878E1e8d79D3d8683D3276930e4d16e48,Female,Misc Nairobi,urban,shop,beneficiary
0x00597c6a7E127730EA8616CB7647Fddb6CA4acf7,Male,Kinango Kwale,rural,water,beneficiary
0x3Ab5067634460C4411670459ee62c45c2ef38234,Female,Misc Nairobi,urban,education,beneficiary
0x021cE8c29fcdbc607E97E100720d8195079d79C7,Female,Kinango Kwale,rural,labour,beneficiary
0xacb12747eA8a47834Ad27052401e7Bf10d492638,Female,Kinango Kwale,rural,fuel/energy,beneficiary
0xB01863F81740d3952469db22BDC6096491AAE0Da,Male,Kinango Kwale,rural,environment,beneficiary
0x62f38DB490c33950c2cDAbc4731CB378a8711677,Female,Kinango Kwale,rural,food,beneficiary
0x717523733E179B6d9369BC7E4e2462577BFaeDfc,Male,Kilifi,periurban,food,beneficiary
0x7815663Fa65Ba86ab350655d67142645667A29e8,Male,Kinango Kwale,rural,food,beneficiary
0x4B168E87002F0E95E82A2A3B980352fD6a094c15,Male,Kinango Kwale,rural,labour,beneficiary
0x8c681AFDd74EE8e315940AeA748875b4D3e7c3Bc,Male,Kinango Kwale,rural,food,beneficiary
0x19eE2b2aC45723c957424fb3e1109754583Ce369,Male,Misc Mombasa,urban,fuel/energy,beneficiary
0x8a0c23d783cC5B92B3735E68C024773896BfA4f1,Female,Kinango Kwale,rural,food,beneficiary
0x3E60F744202F237CF4e66D725B8E353469A793e0,Male,Misc Mombasa,urban,labour,beneficiary
0x1844Cf2669F85bC31BB4131378BC98406367bBec,Female,Kinango Kwale,rural,food,beneficiary
0xf4C367bdE05Ca35C3229426Feb99861A7EB8146d,Female,Kilifi,periurban,food,beneficiary
0xF55F321F5C1278d4A91Ab6e18736D58e998b294e,Female,Kinango Kwale,rural,fuel/energy,beneficiary
0x69da3C7FFA41492Cd1cC47B9A6a16C031d839cdc,Female,Kinango Kwale,rural,food,beneficiary
0xF726580dD3fc4C3D65fE74A185e75e1885059c45,Male,Kinango Kwale,rural,food,beneficiary
0x32AF30518e8c55DD910c0096fdeEf902ceB92558,Male,Kinango Kwale,rural,food,beneficiary
0x02f8C9b4B48682d847f2c93BB884B115DbCA2699,Male,Kinango Kwale,rural,farming,beneficiary
0x8aC6e46c85A891EBF513448c7b5f4A4808e01eA1,Female,Kinango Kwale,rural,food,beneficiary
0x37c07C524539f451414Ce54Fee8F5Cf3F82dcA11,Male,Kinango Kwale,rural,fuel/energy,beneficiary
0xfc7C5821f21198302dEe77494AFA01B312c58762,Male,Kinango Kwale,rural,labour,beneficiary
0xB956445075de8E5AD192E34A96d3386473c9CC08,Male,Kinango Kwale,rural,food,beneficiary
0xc3C12a51D7d71A82B0309D83E3534f4608E46149,Female,Kinango Kwale,rural,food,beneficiary
0x69307a905159c7d907E09c438f65c213c7ce0587,Male,Kinango Kwale,rural,food,beneficiary
0xE170C072476CdeCBC3499eDABB8330C2585c9eBa,Male,Kinango Kwale,rural,labour,beneficiary
